subject	repository_head	command	jobs	memory_max	swap_max	result	wall_seconds	process_max_rss_kib	cgroup_memory_peak	swap_peak	depth	thread_stack_bytes	evidence
prattail incremental compile	ce60f76f	cargo check -p prattail --jobs 8	8	4G	0	success	0.14	75712	55M	0B	na	na	post-rewrite absolute measurement; no before/after causal claim
prattail clean isolated compile	ce60f76f	CARGO_TARGET_DIR=<fresh-temporary-directory> cargo check -p prattail --jobs 8	8	4G	0	success	18.32	963228	1.1G	0B	na	na	post-rewrite absolute measurement; systemd cgroup peak is rounded as reported
recursive lifecycle census	ce60f76f	cargo test -p ast --test recursive_lifecycle_census --jobs 8 -- --nocapture	8	4G	0	success	8.96	na	116.2M	0B	na	na	84 recursive types; 80 ownership components; 542 production Rust files; zero lifecycle exposures
AnyAlgebra and weighted-MSO focused gates	ce60f76f	cargo test -p prattail --test any_algebra_stack_safety --test weighted_mso_stack_safety --jobs 8	8	4G	0	success	0.11	na	79.4M	0B	20000	262144	11 passed; recursive-oracle differentials included; zero failures
AnyAlgebra decision depth gate	e0086c93	target/debug/deps/any_algebra_stack_safety-* --exact nested_decision_procedures_are_stack_safe_at_depth_20k --nocapture	na	1G	0	success	0.25	46168	na	0B	20000	262144	SAT, witness, and evaluation pass; rejected clone-heavy checkpoint interrupted after 141.38 s at 59476 KiB
AnyAlgebra decision differential	e0086c93	cargo test -p prattail --test any_algebra_decision_equivalence --test any_algebra_stack_safety --jobs 8	8	2G	0	success	na	na	na	0B	20000	262144	5 generic-reference decision differentials plus 7 lifecycle/stack tests pass; zero failures
prattail library regression	e0086c93	cargo test -p prattail --lib --jobs 8	8	4G	0	success	1.31	na	na	0B	na	na	3640 passed; zero failed; value is test-harness runtime after compilation, not command wall time
Rholang type-inference package check	338d8263	cargo check -p languages --jobs 8	8	8G	0	success	135	na	na	0B	na	na	4G attempt was killed at the exact cgroup limit; 8G rerun completed without swap
Rholang type-inference focused gates	338d8263	cargo test -p languages --test rholang_type_inference_stack_safe --jobs 8	8	8G	0	success	na	na	na	0B	20000	262144	2 passed; 8-case ordered recursive-oracle differential plus deep continuation gate
Rholang type-inference direct gate	338d8263	target/debug/deps/rholang_type_inference_stack_safe-* --nocapture	na	1G	0	success	0.05	36428	na	0B	20000	262144	already-built focused binary; 2 passed; zero swap
ActionArg lifecycle focused gates	338d8263	cargo test -p prattail --test action_arg_stack_safety --jobs 8	8	1G	0	success	na	na	na	0B	na	na	3 passed; consuming BinderScope and identifier accessors preserve custom iterative Drop
