claim_id	paper	label	claim_class	status	boundary	source_refs	limitation
CA3P-TRANSFER-SUGAR	rho	eq:sugar-lollipop	operational_correspondence	source_inspected	runtime-source	rholang/src/rust/interpreter/compiler/normalizer/cost_accounting/desugar.rs#lollipop;formal/rocq/cost_accounted_rho/theories/SyntacticSugar.v#lollipop_sugar_translation_equiv	Translation-image equality and native normalization tests do not establish complete runtime funding and settlement correspondence.
CA3P-UNIFORM-SUGAR	rho	eq:sugar-uniform	operational_correspondence	source_inspected	runtime-source	rholang/src/rust/interpreter/compiler/normalizer/cost_accounting/desugar.rs#uniform_sign;formal/rocq/cost_accounted_rho/theories/SyntacticSugar.v#uniform_is_lollipop_diagonal	Uniform signing shares the transfer construction for an unsigned continuation; explicitly signed continuations retain their distinct treatment.
CA3P-TENSOR-HOM	rho	rem:tensor-hom	adjunction	source_inspected	abstract-algebra	formal/rocq/cost_accounted_rho/theories/LLIdentities.v#lolly_curry_isomorphism	List regrouping under permutation does not establish an internal hom or operational funding correspondence.
CA3P-GROUND-ENCODING	rho	app:sig-trans	injectivity	assumption	encoding-premise	formal/rocq/cost_accounted_rho/theories/Translation.v#hash_process_injective	Injective abstract bit-list encoding is a premise of this translation and not a proof of digest collision freedom.
CA3P-DIGEST	monad	sec:signatures	injectivity	assumption	cryptographic-premise	rholang/src/rust/interpreter/accounting/mod.rs#lane_hash	Blake2b-256 collision resistance remains a cryptographic assumption separate from abstract encoding injectivity.
CA3P-RESOURCE-FORMULAS	monad	sec:types	internal_logic	source_inspected	runtime-source	rholang/src/rust/interpreter/accounting/oslf.rs#DemandKnowledge;formal/rocq/cost_accounted_rho/theories/CAOSLFSpatialModal.v#upper_bound_cannot_assert_modal_spend	Finite resource checking does not establish full knotted-topos classifier adequacy or complete runtime refinement.
CA3P-FEE-MAPPING	rho	eq:fee-extract	operational_correspondence	source_inspected	runtime-source	casper/src/rust/util/rholang/acceptance.rs#fee_authority_event;casper/tests/util/rholang/multi_payer_fee.rs#state_bound_joint_deploy_pays_one_total_fee_through_vault_and_replay;formal/tlaplus/cost_accounted_rho/FeeObligationBoundary.tla#FeeMatchesIndependentObligation	The native Nil regression credits one monetary unit per selected signer, not one total fee. The paper transfers one authority token and does not itself define the token-to-REV conversion for arbitrary payer sets.
CA3P-ACCEPTANCE-DISCOVERY	rho	sec:acceptance-protocol	operational_correspondence	source_inspected	runtime-source	casper/src/rust/util/rholang/acceptance.rs#state_bound_capacity_signatures;formal/tlaplus/cost_accounted_rho/InitialFundingDiscovery.tla#CapacityUsesDistinctPrestateCustody;formal/rocq/cost_accounted_rho/theories/StateBoundFrontierExpansion.v#initial_inventory_contains_every_selected_custody;casper/tests/util/rholang/multi_payer_fee.rs#state_bound_joint_deploy_pays_one_total_fee_through_vault_and_replay	Authenticated leaf discovery repairs the zero-capacity rejection in all eight native cases. Bounded TLA+ checks, abstract inventory proofs, and native properties cover the discovery boundary. Six native cases still fail the separate fixed-fee assertion. These checks do not establish static all-branch acceptance or arbitrary concurrent execution.
CA3P-EXIST	knotted	ob:exist	infinity	open	unmapped-obligation	-	Map the approved executable specialization without claiming that finite data constructs the full categorical fixpoint.
CA3P-COHERE	knotted	ob:cohere	reflection_equivalence	open	unmapped-obligation	-	Find the actual swap and knot coherence correspondence rather than relying on constructor equalities.
CA3P-OPCORR	knotted	ob:opcorr	operational_correspondence	open	unmapped-obligation	-	Map both directions of operational correspondence including persistence and location labels.
CA3P-CLASSIFY	knotted	ob:classify	classifier	open	unmapped-obligation	-	Connect the modal theory to the stated classifier logic before claiming adequacy.
CA3P-BARBED	knotted	ob:barbed	full_abstraction	open	unmapped-obligation	-	Connect context bisimulation to native observational equivalence before claiming full abstraction.
CA3P-FUNCTOR	knotted	ob:functor	functor	open	unmapped-obligation	-	Identify actual source and target morphisms and the preserved structure.
CA3P-SIZE	knotted	ob:size	infinity	open	unmapped-obligation	-	Separate finite executable structures from the full infinitary construction.
CA3P-METRIC	knotted	ob:metric	metric	open	unmapped-obligation	-	Map approved scope explicitly and do not substitute resource arithmetic for the internal metric construction.
CA3P-PLACE	knotted	ob:place	placement	open	unmapped-obligation	-	Map approved scope explicitly and distinguish mathematical comparison from implementation presence.
